"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","47.94"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","15","4.1","0.11","0","15","0","0"
"1","1","1","0","0","15","4","0.11","0","15","0","0"
"1","1","2","0","0","15","3.8","0.11","0","15","0","0"
"1","1","3","0","0","14","3.7","0.11","0","14","0","0"
"1","1","4","0","0","14","3.5","0.11","0","14","0","0"
"1","1","5","0","0","14","3.4","0.11","0","14","0","0"
"1","1","6","0","0","14","3.6","0.11","0","14","0","0"
"1","1","7","435","32","16","4.1","0.11","179.855","19.033","583.413","546.886"
"1","1","8","101","113","18","4.2","0.11","185.255","21.135","636.971","598.546"
"1","1","9","831","72","20","3.7","0.11","791.828","34.441","2673.81","2563.212"
"1","1","10","386","202","21","3","0.11","584.366","32.874","1960.912","1875.575"
"1","1","11","945","71","22","2.5","0.11","1031.025","44.895","3296.717","3164.047"
"1","1","12","355","230","23","2","0.11","601.819","37.689","1974.302","1888.49"
"1","1","13","905","70","23","1.6","0.11","921.54","47.549","2934.227","2814.401"
"1","1","14","307","151","22","1","0.11","410.977","34.615","1373.569","1309.043"
"1","1","15","696","50","20","0.6","0.11","507.817","37.37","1692.763","1616.927"
"1","1","16","333","20","17","0.9","0.11","173.258","21.546","359.571","330.976"
"1","1","17","0","0","16","1.4","0.11","0","16","0","0"
"1","1","18","0","0","15","1.6","0.11","0","15","0","0"
"1","1","19","0","0","15","1.7","0.11","0","15","0","0"
"1","1","20","0","0","15","1.8","0.11","0","15","0","0"
"1","1","21","0","0","15","2","0.11","0","15","0","0"
"1","1","22","0","0","15","2.1","0.11","0","15","0","0"
"1","1","23","0","0","15","2.1","0.11","0","15","0","0"
"1","2","0","0","0","14","2.1","0.11","0","14","0","0"
"1","2","1","0","0","14","2.1","0.11","0","14","0","0"
"1","2","2","0","0","14","2.1","0.11","0","14","0","0"
"1","2","3","0","0","14","2.2","0.11","0","14","0","0"
"1","2","4","0","0","14","2.4","0.11","0","14","0","0"
"1","2","5","0","0","14","2.6","0.11","0","14","0","0"
"1","2","6","0","0","14","3","0.11","0","14","0","0"
"1","2","7","81","39","16","3.7","0.11","67.867","17.212","212.649","189.26"
"1","2","8","734","57","19","4.2","0.11","573.912","28.742","1987.599","1901.316"
"1","2","9","852","70","20","3.9","0.11","806.066","34.271","2723.577","2611.216"
"1","2","10","901","79","21","3.2","0.11","948.842","39.683","3112.362","2986.225"
"1","2","11","924","81","22","2.5","0.11","1021.898","44.69","3269.797","3138.081"
"1","2","12","359","230","23","2","0.11","605.769","37.785","1986.501","1900.257"
"1","2","13","900","74","22","1.6","0.11","922.445","46.572","2948.205","2827.884"
"1","2","14","827","67","21","1.3","0.11","752.389","42.497","2465.589","2362.369"
"1","2","15","679","53","19","1.2","0.11","501.206","33.661","1695.509","1619.576"
"1","2","16","310","22","17","1.5","0.11","170.679","20.876","355.409","326.961"
"1","2","17","0","0","16","1.6","0.11","0","16","0","0"
"1","2","18","0","0","15","1.7","0.11","0","15","0","0"
"1","2","19","0","0","15","1.6","0.11","0","15","0","0"
"1","2","20","0","0","15","1.6","0.11","0","15","0","0"
"1","2","21","0","0","15","1.6","0.11","0","15","0","0"
"1","2","22","0","0","15","1.5","0.11","0","15","0","0"
"1","2","23","0","0","15","1.5","0.11","0","15","0","0"
"1","3","0","0","0","15","1.4","0.11","0","15","0","0"
"1","3","1","0","0","16","1.3","0.11","0","16","0","0"
"1","3","2","0","0","16","1.2","0.11","0","16","0","0"
"1","3","3","0","0","16","1.2","0.11","0","16","0","0"
"1","3","4","0","0","16","1.4","0.11","0","16","0","0"
"1","3","5","0","0","16","1.6","0.11","0","16","0","0"
"1","3","6","0","0","16","1.7","0.11","0","16","0","0"
"1","3","7","44","38","17","2.1","0.11","56.039","18.317","172.984","151.001"
"1","3","8","153","112","19","2.5","0.11","218.257","23.851","748.094","705.732"
"1","3","9","838","67","21","2.4","0.11","790.129","38.918","2621.79","2513.035"
"1","3","10","887","76","23","1.5","0.11","931.726","48.368","2951.17","2830.744"
"1","3","11","400","225","24","0.9","0.11","643.393","44.202","2056.792","1968.057"
"1","3","12","906","80","24","0.7","0.11","996.521","57.067","3029.975","2906.757"
"1","3","13","881","75","24","0.9","0.11","906.923","52.559","2827.188","2711.156"
"1","3","14","290","155","23","0.9","0.11","402.381","35.671","1337.624","1274.372"
"1","3","15","677","52","21","0.9","0.11","499.947","36.767","1670.828","1595.77"
"1","3","16","315","22","18","1.2","0.11","173.994","22.238","360.73","332.093"
"1","3","17","0","0","16","1.6","0.11","0","16","0","0"
"1","3","18","0","0","16","1.8","0.11","0","16","0","0"
"1","3","19","0","0","16","1.9","0.11","0","16","0","0"
"1","3","20","0","0","16","1.9","0.11","0","16","0","0"
"1","3","21","0","0","16","1.9","0.11","0","16","0","0"
"1","3","22","0","0","15","1.9","0.11","0","15","0","0"
"1","3","23","0","0","15","1.9","0.11","0","15","0","0"
"1","4","0","0","0","15","1.9","0.11","0","15","0","0"
"1","4","1","0","0","16","1.9","0.11","0","16","0","0"
"1","4","2","0","0","16","1.9","0.11","0","16","0","0"
"1","4","3","0","0","15","2","0.11","0","15","0","0"
"1","4","4","0","0","15","2.1","0.11","0","15","0","0"
"1","4","5","0","0","15","2.1","0.11","0","15","0","0"
"1","4","6","0","0","15","2.3","0.11","0","15","0","0"
"1","4","7","489","29","17","3.2","0.11","185.332","20.58","596.193","559.213"
"1","4","8","764","52","20","4.2","0.11","586.295","29.953","2021.884","1934.387"
"1","4","9","877","63","22","4.2","0.11","809.009","35.723","2719.044","2606.844"
"1","4","10","933","68","23","3.7","0.11","964.982","40.571","3153.824","3026.218"
"1","4","11","951","72","24","3","0.11","1038.109","45.11","3315.037","3181.718"
"1","4","12","944","74","24","2.3","0.11","1027.385","47.685","3248.206","3117.255"
"1","4","13","916","70","24","1.7","0.11","933.939","48.341","2962.209","2841.392"
"1","4","14","847","64","23","1.1","0.11","766.817","45.993","2476.788","2373.172"
"1","4","15","704","51","21","0.9","0.11","516.762","37.299","1724.794","1647.823"
"1","4","16","343","22","19","1.2","0.11","187","23.711","414.832","384.279"
"1","4","17","0","0","17","1.6","0.11","0","17","0","0"
"1","4","18","0","0","16","1.8","0.11","0","16","0","0"
"1","4","19","0","0","16","1.9","0.11","0","16","0","0"
"1","4","20","0","0","16","1.9","0.11","0","16","0","0"
"1","4","21","0","0","16","2","0.11","0","16","0","0"
"1","4","22","0","0","16","2","0.11","0","16","0","0"
"1","4","23","0","0","16","2","0.11","0","16","0","0"
"1","5","0","0","0","16","1.9","0.11","0","16","0","0"
"1","5","1","0","0","16","1.9","0.11","0","16","0","0"
"1","5","2","0","0","16","1.9","0.11","0","16","0","0"
"1","5","3","0","0","15","1.9","0.11","0","15","0","0"
"1","5","4","0","0","15","1.9","0.11","0","15","0","0"
"1","5","5","0","0","15","1.8","0.11","0","15","0","0"
"1","5","6","0","0","15","1.8","0.11","0","15","0","0"
"1","5","7","23","37","17","1.8","0.11","41.381","18.034","125.946","105.629"
"1","5","8","120","113","19","2.2","0.11","196.932","23.631","672.372","632.693"
"1","5","9","836","72","20","2.3","0.11","792.495","38.314","2635.356","2526.12"
"1","5","10","900","77","21","1.6","0.11","944.177","46.14","3017.166","2894.402"
"1","5","11","915","82","22","0.9","0.11","1014.049","53.891","3122.425","2995.931"
"1","5","12","384","227","23","0.4","0.11","627.087","45.635","1992.265","1905.817"
"1","5","13","874","81","23","0.2","0.11","918.287","58.355","2789.965","2675.251"
"1","5","14","802","73","22","0.3","0.11","742.071","49.739","2358.751","2259.317"
"1","5","15","658","57","21","0.3","0.11","499.098","39.655","1648.668","1574.395"
"1","5","16","348","23","19","0.4","0.11","191.29","25.149","451.656","419.798"
"1","5","17","0","0","17","0.6","0.11","0","17","0","0"
"1","5","18","0","0","16","0.8","0.11","0","16","0","0"
"1","5","19","0","0","16","1","0.11","0","16","0","0"
"1","5","20","0","0","15","1.2","0.11","0","15","0","0"
"1","5","21","0","0","15","1.3","0.11","0","15","0","0"
"1","5","22","0","0","15","1.4","0.11","0","15","0","0"
"1","5","23","0","0","15","1.4","0.11","0","15","0","0"
"1","6","0","0","0","15","1.4","0.11","0","15","0","0"
"1","6","1","0","0","15","1.5","0.11","0","15","0","0"
"1","6","2","0","0","15","1.4","0.11","0","15","0","0"
"1","6","3","0","0","15","1.2","0.11","0","15","0","0"
"1","6","4","0","0","15","1.1","0.11","0","15","0","0"
"1","6","5","0","0","15","1.1","0.11","0","15","0","0"
"1","6","6","0","0","15","1.1","0.11","0","15","0","0"
"1","6","7","421","31","16","1.2","0.11","172.823","20.949","552.75","517.31"
"1","6","8","708","58","18","1.1","0.11","553.275","34.596","1872.037","1789.849"
"1","6","9","829","71","19","0.8","0.11","784.751","44.405","2546.409","2440.325"
"1","6","10","893","77","20","0.9","0.11","937.165","49.5","2953.53","2833.02"
"1","6","11","915","81","21","1.3","0.11","1012.883","49.85","3172.161","3043.904"
"1","6","12","391","227","21","1.6","0.11","633.985","37.837","2079.273","1989.742"
"1","6","13","876","80","20","1.9","0.11","919.703","42.974","2980.063","2858.614"
"1","6","14","808","71","19","1.8","0.11","745.592","38.053","2485.682","2381.75"
"1","6","15","667","56","18","1.4","0.11","500.318","31.963","1705.251","1628.973"
"1","6","16","292","25","16","1","0.11","170.568","20.751","431.543","400.398"
"1","6","17","0","0","15","0.6","0.11","0","15","0","0"
"1","6","18","0","0","14","0.4","0.11","0","14","0","0"
"1","6","19","0","0","14","0.6","0.11","0","14","0","0"
"1","6","20","0","0","14","1","0.11","0","14","0","0"
"1","6","21","0","0","13","1.2","0.11","0","13","0","0"
"1","6","22","0","0","13","1.3","0.11","0","13","0","0"
"1","6","23","0","0","12","1.4","0.11","0","12","0","0"
"1","7","0","0","0","12","1.4","0.11","0","12","0","0"
"1","7","1","0","0","11","1.5","0.11","0","11","0","0"
"1","7","2","0","0","11","1.5","0.11","0","11","0","0"
"1","7","3","0","0","10","1.5","0.11","0","10","0","0"
"1","7","4","0","0","10","1.4","0.11","0","10","0","0"
"1","7","5","0","0","10","1.3","0.11","0","10","0","0"
"1","7","6","0","0","10","1.8","0.11","0","10","0","0"
"1","7","7","0","35","12","2.6","0.11","28.423","12.607","87.012","68.075"
"1","7","8","81","113","13","2.8","0.11","159.138","16.35","554.409","518.91"
"1","7","9","174","183","15","2.5","0.11","329.227","22.309","1142.858","1086.507"
"1","7","10","158","237","16","2.4","0.11","388.5","24.767","1329.719","1266.748"
"1","7","11","144","265","17","2.6","0.11","412.137","25.955","1399.62","1334.172"
"1","7","12","61","247","17","2.6","0.11","289.109","23.277","981.207","930.585"
"1","7","13","258","225","16","2.5","0.11","484.156","26.735","1656.519","1581.967"
"1","7","14","275","162","15","2.2","0.11","398.716","24.378","1384.14","1319.24"
"1","7","15","635","61","14","1.5","0.11","490.58","27.382","1701.218","1625.083"
"1","7","16","230","29","12","0.9","0.11","148.645","16.32","398.553","368.576"
"1","7","17","0","0","11","0.7","0.11","0","11","0","0"
"1","7","18","0","0","11","0.9","0.11","0","11","0","0"
"1","7","19","0","0","11","1","0.11","0","11","0","0"
"1","7","20","0","0","11","0.9","0.11","0","11","0","0"
"1","7","21","0","0","11","1","0.11","0","11","0","0"
"1","7","22","0","0","11","1.3","0.11","0","11","0","0"
"1","7","23","0","0","11","1.5","0.11","0","11","0","0"
"1","8","0","0","0","11","1.7","0.11","0","11","0","0"
"1","8","1","0","0","11","2.1","0.11","0","11","0","0"
"1","8","2","0","0","12","2.5","0.11","0","12","0","0"
"1","8","3","0","0","12","2.9","0.11","0","12","0","0"
"1","8","4","0","0","11","3.1","0.11","0","11","0","0"
"1","8","5","0","0","11","3.2","0.11","0","11","0","0"
"1","8","6","0","0","11","3.3","0.11","0","11","0","0"
"1","8","7","81","38","13","3.5","0.11","74.241","14.366","235.567","211.365"
"1","8","8","199","110","15","4.1","0.11","256.634","19.409","900.399","852.64"
"1","8","9","898","63","17","4.8","0.11","822.862","29.876","2827.994","2711.933"
"1","8","10","945","71","18","5","0.11","978.003","32.891","3291.969","3159.467"
"1","8","11","960","76","19","4.9","0.11","1051.78","35.203","3490.829","3333.333"
"1","8","12","417","223","19","4.6","0.11","675.15","29.797","2285.053","2188.231"
"1","8","13","918","75","19","4.1","0.11","944.637","35.225","3155.262","3027.605"
