"PVWatts Hourly PV Performance Data"
"Requested Location","San Diego"
"Location","Lat, Lng: 32.73, -117.18"
"Latitude (DD)","32.73"
"Longitude (DD)","-117.18"
"Elevation (m)","24"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","57.19"
"Array Azimuth (deg)","270"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","15","4.1","0.11","0","15","0","0"
"1","1","1","0","0","15","4","0.11","0","15","0","0"
"1","1","2","0","0","15","3.8","0.11","0","15","0","0"
"1","1","3","0","0","14","3.7","0.11","0","14","0","0"
"1","1","4","0","0","14","3.5","0.11","0","14","0","0"
"1","1","5","0","0","14","3.4","0.11","0","14","0","0"
"1","1","6","0","0","14","3.6","0.11","0","14","0","0"
"1","1","7","435","32","16","4.1","0.11","21.608","16.363","64.27","46.139"
"1","1","8","101","113","18","4.2","0.11","65.807","19.111","217.007","193.463"
"1","1","9","831","72","20","3.7","0.11","46.831","20.848","149.825","128.662"
"1","1","10","386","202","21","3","0.11","112.758","23.267","360.75","332.113"
"1","1","11","945","71","22","2.5","0.11","279.715","27.888","788.654","744.854"
"1","1","12","355","230","23","2","0.11","325.218","30.899","1064.788","1011.204"
"1","1","13","905","70","23","1.6","0.11","612.137","39.303","2016.867","1929.547"
"1","1","14","307","151","22","1","0.11","366.729","33.256","1228.984","1169.582"
"1","1","15","696","50","20","0.6","0.11","501.755","37.161","1672.973","1597.839"
"1","1","16","333","20","17","0.9","0.11","101.92","19.705","213.462","190.044"
"1","1","17","0","0","16","1.4","0.11","0","16","0","0"
"1","1","18","0","0","15","1.6","0.11","0","15","0","0"
"1","1","19","0","0","15","1.7","0.11","0","15","0","0"
"1","1","20","0","0","15","1.8","0.11","0","15","0","0"
"1","1","21","0","0","15","2","0.11","0","15","0","0"
"1","1","22","0","0","15","2.1","0.11","0","15","0","0"
"1","1","23","0","0","15","2.1","0.11","0","15","0","0"
"1","2","0","0","0","14","2.1","0.11","0","14","0","0"
"1","2","1","0","0","14","2.1","0.11","0","14","0","0"
"1","2","2","0","0","14","2.1","0.11","0","14","0","0"
"1","2","3","0","0","14","2.2","0.11","0","14","0","0"
"1","2","4","0","0","14","2.4","0.11","0","14","0","0"
"1","2","5","0","0","14","2.6","0.11","0","14","0","0"
"1","2","6","0","0","14","3","0.11","0","14","0","0"
"1","2","7","81","39","16","3.7","0.11","24.353","16.434","72.807","54.373"
"1","2","8","734","57","19","4.2","0.11","39.107","19.66","125.48","105.179"
"1","2","9","852","70","20","3.9","0.11","45.663","20.803","145.915","124.891"
"1","2","10","901","79","21","3.2","0.11","62.814","22.2","184.962","162.554"
"1","2","11","924","81","22","2.5","0.11","280.537","27.912","793.794","749.812"
"1","2","12","359","230","23","2","0.11","326.535","30.93","1068.771","1015.046"
"1","2","13","900","74","22","1.6","0.11","612.624","38.315","2025.963","1938.32"
"1","2","14","827","67","21","1.3","0.11","671.013","40.171","2219.543","2125.042"
"1","2","15","679","53","19","1.2","0.11","498.363","33.576","1685.638","1610.055"
"1","2","16","310","22","17","1.5","0.11","111.36","19.554","233.921","209.778"
"1","2","17","0","0","16","1.6","0.11","0","16","0","0"
"1","2","18","0","0","15","1.7","0.11","0","15","0","0"
"1","2","19","0","0","15","1.6","0.11","0","15","0","0"
"1","2","20","0","0","15","1.6","0.11","0","15","0","0"
"1","2","21","0","0","15","1.6","0.11","0","15","0","0"
"1","2","22","0","0","15","1.5","0.11","0","15","0","0"
"1","2","23","0","0","15","1.5","0.11","0","15","0","0"
"1","3","0","0","0","15","1.4","0.11","0","15","0","0"
"1","3","1","0","0","16","1.3","0.11","0","16","0","0"
"1","3","2","0","0","16","1.2","0.11","0","16","0","0"
"1","3","3","0","0","16","1.2","0.11","0","16","0","0"
"1","3","4","0","0","16","1.4","0.11","0","16","0","0"
"1","3","5","0","0","16","1.6","0.11","0","16","0","0"
"1","3","6","0","0","16","1.7","0.11","0","16","0","0"
"1","3","7","44","38","17","2.1","0.11","23.776","17.558","70.584","52.229"
"1","3","8","153","112","19","2.5","0.11","65.453","20.45","214.526","191.07"
"1","3","9","838","67","21","2.4","0.11","43.718","21.984","138.666","117.898"
"1","3","10","887","76","23","1.5","0.11","59.802","24.587","176.527","154.418"
"1","3","11","400","225","24","0.9","0.11","236.8","31.244","711.462","670.397"
"1","3","12","906","80","24","0.7","0.11","464.936","39.309","1477.621","1409.409"
"1","3","13","881","75","24","0.9","0.11","602.067","42.955","1953.223","1868.159"
"1","3","14","290","155","23","0.9","0.11","358.455","34.286","1194.79","1136.6"
"1","3","15","677","52","21","0.9","0.11","500.239","36.775","1671.128","1596.059"
"1","3","16","315","22","18","1.2","0.11","115.431","20.84","241.551","217.138"
"1","3","17","0","0","16","1.6","0.11","0","16","0","0"
"1","3","18","0","0","16","1.8","0.11","0","16","0","0"
"1","3","19","0","0","16","1.9","0.11","0","16","0","0"
"1","3","20","0","0","16","1.9","0.11","0","16","0","0"
"1","3","21","0","0","16","1.9","0.11","0","16","0","0"
"1","3","22","0","0","15","1.9","0.11","0","15","0","0"
"1","3","23","0","0","15","1.9","0.11","0","15","0","0"
"1","4","0","0","0","15","1.9","0.11","0","15","0","0"
"1","4","1","0","0","16","1.9","0.11","0","16","0","0"
"1","4","2","0","0","16","1.9","0.11","0","16","0","0"
"1","4","3","0","0","15","2","0.11","0","15","0","0"
"1","4","4","0","0","15","2.1","0.11","0","15","0","0"
"1","4","5","0","0","15","2.1","0.11","0","15","0","0"
"1","4","6","0","0","15","2.3","0.11","0","15","0","0"
"1","4","7","489","29","17","3.2","0.11","21.448","17.413","63.315","45.218"
"1","4","8","764","52","20","4.2","0.11","35.731","20.603","113.648","93.767"
"1","4","9","877","63","22","4.2","0.11","46.611","22.785","147.784","126.693"
"1","4","10","933","68","23","3.7","0.11","54.693","23.973","162.614","140.998"
"1","4","11","951","72","24","3","0.11","278.936","29.37","778.607","735.164"
"1","4","12","944","74","24","2.3","0.11","476.13","34.89","1540.459","1470.02"
"1","4","13","916","70","24","1.7","0.11","618.154","40.107","2029.393","1941.629"
"1","4","14","847","64","23","1.1","0.11","682.467","43.463","2227.357","2132.578"
"1","4","15","704","51","21","0.9","0.11","520.197","37.406","1735.06","1657.726"
"1","4","16","343","22","19","1.2","0.11","123.746","22.146","277.368","251.685"
"1","4","17","0","0","17","1.6","0.11","0","17","0","0"
"1","4","18","0","0","16","1.8","0.11","0","16","0","0"
"1","4","19","0","0","16","1.9","0.11","0","16","0","0"
"1","4","20","0","0","16","1.9","0.11","0","16","0","0"
"1","4","21","0","0","16","2","0.11","0","16","0","0"
"1","4","22","0","0","16","2","0.11","0","16","0","0"
"1","4","23","0","0","16","2","0.11","0","16","0","0"
"1","5","0","0","0","16","1.9","0.11","0","16","0","0"
"1","5","1","0","0","16","1.9","0.11","0","16","0","0"
"1","5","2","0","0","16","1.9","0.11","0","16","0","0"
"1","5","3","0","0","15","1.9","0.11","0","15","0","0"
"1","5","4","0","0","15","1.9","0.11","0","15","0","0"
"1","5","5","0","0","15","1.8","0.11","0","15","0","0"
"1","5","6","0","0","15","1.8","0.11","0","15","0","0"
"1","5","7","23","37","17","1.8","0.11","23.209","17.579","68.752","50.462"
"1","5","8","120","113","19","2.2","0.11","65.851","20.544","215.814","192.313"
"1","5","9","836","72","20","2.3","0.11","46.854","21.075","149.725","128.565"
"1","5","10","900","77","21","1.6","0.11","58.357","22.528","179.173","156.97"
"1","5","11","915","82","22","0.9","0.11","276.468","30.245","772.251","729.033"
"1","5","12","384","227","23","0.4","0.11","334.175","35","1075.532","1021.567"
"1","5","13","874","81","23","0.2","0.11","607.396","46.38","1941.675","1857.019"
"1","5","14","802","73","22","0.3","0.11","660.278","46.68","2125.139","2033.982"
"1","5","15","658","57","21","0.3","0.11","507.57","39.969","1674.253","1599.074"
"1","5","16","348","23","19","0.4","0.11","129.19","23.186","308.873","282.074"
"1","5","17","0","0","17","0.6","0.11","0","17","0","0"
"1","5","18","0","0","16","0.8","0.11","0","16","0","0"
"1","5","19","0","0","16","1","0.11","0","16","0","0"
"1","5","20","0","0","15","1.2","0.11","0","15","0","0"
"1","5","21","0","0","15","1.3","0.11","0","15","0","0"
"1","5","22","0","0","15","1.4","0.11","0","15","0","0"
"1","5","23","0","0","15","1.4","0.11","0","15","0","0"
"1","6","0","0","0","15","1.4","0.11","0","15","0","0"
"1","6","1","0","0","15","1.5","0.11","0","15","0","0"
"1","6","2","0","0","15","1.4","0.11","0","15","0","0"
"1","6","3","0","0","15","1.2","0.11","0","15","0","0"
"1","6","4","0","0","15","1.1","0.11","0","15","0","0"
"1","6","5","0","0","15","1.1","0.11","0","15","0","0"
"1","6","6","0","0","15","1.1","0.11","0","15","0","0"
"1","6","7","421","31","16","1.2","0.11","20.914","16.598","61.867","43.82"
"1","6","8","708","58","18","1.1","0.11","39.73","19.184","127.861","107.476"
"1","6","9","829","71","19","0.8","0.11","46.194","20.485","147.893","126.798"
"1","6","10","893","77","20","0.9","0.11","57.309","21.781","179.057","156.858"
"1","6","11","915","81","21","1.3","0.11","275.077","28.426","772.806","729.568"
"1","6","12","391","227","21","1.6","0.11","336.908","29.9","1106.856","1051.782"
"1","6","13","876","80","20","1.9","0.11","607.71","35.177","2032.859","1944.972"
"1","6","14","808","71","19","1.8","0.11","663.019","35.942","2228.828","2133.997"
"1","6","15","667","56","18","1.4","0.11","510.646","32.251","1738.416","1660.963"
"1","6","16","292","25","16","1","0.11","123.862","19.473","316.74","289.662"
"1","6","17","0","0","15","0.6","0.11","0","15","0","0"
"1","6","18","0","0","14","0.4","0.11","0","14","0","0"
"1","6","19","0","0","14","0.6","0.11","0","14","0","0"
"1","6","20","0","0","14","1","0.11","0","14","0","0"
"1","6","21","0","0","13","1.2","0.11","0","13","0","0"
"1","6","22","0","0","13","1.3","0.11","0","13","0","0"
"1","6","23","0","0","12","1.4","0.11","0","12","0","0"
"1","7","0","0","0","12","1.4","0.11","0","12","0","0"
"1","7","1","0","0","11","1.5","0.11","0","11","0","0"
"1","7","2","0","0","11","1.5","0.11","0","11","0","0"
"1","7","3","0","0","10","1.5","0.11","0","10","0","0"
"1","7","4","0","0","10","1.4","0.11","0","10","0","0"
"1","7","5","0","0","10","1.3","0.11","0","10","0","0"
"1","7","6","0","0","10","1.8","0.11","0","10","0","0"
"1","7","7","0","35","12","2.6","0.11","22.027","12.471","66.639","48.423"
"1","7","8","81","113","13","2.8","0.11","66.514","14.397","223.873","200.086"
"1","7","9","174","183","15","2.5","0.11","101.565","17.247","342.096","314.119"
"1","7","10","158","237","16","2.4","0.11","126.829","18.853","424.765","393.86"
"1","7","11","144","265","17","2.6","0.11","197.086","21.233","640.596","602.043"
"1","7","12","61","247","17","2.6","0.11","195.038","21.226","654.801","615.744"
"1","7","13","258","225","16","2.5","0.11","344.873","23.643","1184.723","1126.889"
"1","7","14","275","162","15","2.2","0.11","354.529","23.338","1232.319","1172.799"
"1","7","15","635","61","14","1.5","0.11","505.86","27.798","1751.471","1673.555"
"1","7","16","230","29","12","0.9","0.11","118.946","15.475","322.141","294.872"
"1","7","17","0","0","11","0.7","0.11","0","11","0","0"
"1","7","18","0","0","11","0.9","0.11","0","11","0","0"
"1","7","19","0","0","11","1","0.11","0","11","0","0"
"1","7","20","0","0","11","0.9","0.11","0","11","0","0"
"1","7","21","0","0","11","1","0.11","0","11","0","0"
"1","7","22","0","0","11","1.3","0.11","0","11","0","0"
"1","7","23","0","0","11","1.5","0.11","0","11","0","0"
"1","8","0","0","0","11","1.7","0.11","0","11","0","0"
"1","8","1","0","0","11","2.1","0.11","0","11","0","0"
"1","8","2","0","0","12","2.5","0.11","0","12","0","0"
"1","8","3","0","0","12","2.9","0.11","0","12","0","0"
"1","8","4","0","0","11","3.1","0.11","0","11","0","0"
"1","8","5","0","0","11","3.2","0.11","0","11","0","0"
"1","8","6","0","0","11","3.3","0.11","0","11","0","0"
"1","8","7","81","38","13","3.5","0.11","23.667","13.435","71.516","53.127"
"1","8","8","199","110","15","4.1","0.11","63.817","16.092","212.849","189.453"
"1","8","9","898","63","17","4.8","0.11","46.773","17.727","151.62","130.393"
"1","8","10","945","71","18","5","0.11","53.144","18.803","170.702","148.799"
"1","8","11","960","76","19","4.9","0.11","280.93","23.094","802.073","757.798"
"1","8","12","417","223","19","4.6","0.11","351.565","24.592","1180.036","1122.368"
"1","8","13","918","75","19","4.1","0.11","624.362","29.721","2133.886","2042.419"
"1","8","14","852","68","18","3.2","0.11","692.321","31.657","2366.534","2266.824"
